,Routed Calls,Routed Chats,Routed Texts,Total Routed,Total Answered Percentage
May 2023,262920,68507,71067,402494,93
April 2023,242995,61082,64859,368936,92
March 2023,243417,61146,64259,371822,92
February 2023,226634,59225,60365,346224,92
January 2023,248634,71058,64379,384071,91
December 2022,241555,70616,59484,371655,91
November 2022,222285,72134,52922,347341,92
October 2022,230928,68425,49992,349345,91
September 2022,239135,66128,45366,350629,88
August 2022,256398,64115,40627,361140,88
July 2022,245905,75441,33279,354625,84
