Country,Year,Suicides per 100k
Canada,1985,166.46
Canada,1986,190.11
Canada,1987,179.33
Canada,1988,175.38
Canada,1989,170.98
Canada,1990,165.02
Canada,1991,167.78
Canada,1992,163.6
Canada,1993,164.02
Canada,1994,161.91
Canada,1995,163.52
Canada,1996,162.89
Canada,1997,151.43
Canada,1998,150.12
Canada,1999,158.44
Canada,2000,139.0
Canada,2001,137.43
Canada,2002,137.73
Canada,2003,137.27
Canada,2004,131.66
Canada,2005,133.84
Canada,2006,126.43
Canada,2007,127.45
Canada,2008,127.59
Canada,2009,130.67
Canada,2010,132.67
Canada,2011,125.02
Canada,2012,127.88
Canada,2013,133.09
