,Country,Year,Sex,Age,Number of Suicides,Suicides per 100k,GDP for Year ($),GDP per Capita ($),Generation
9710,Germany,1990,male,75+ years,1516,88.26,"1,764,967,948,917",23546,G.I. Generation
9711,Germany,1990,male,55-74 years,2406,36.49,"1,764,967,948,917",23546,G.I. Generation
9712,Germany,1990,male,35-54 years,3302,29.68,"1,764,967,948,917",23546,Silent
9713,Germany,1990,female,75+ years,1174,29.51,"1,764,967,948,917",23546,G.I. Generation
9714,Germany,1990,male,25-34 years,1488,22.14,"1,764,967,948,917",23546,Boomers
9715,Germany,1990,female,55-74 years,1417,16.6,"1,764,967,948,917",23546,G.I. Generation
9716,Germany,1990,male,15-24 years,800,14.37,"1,764,967,948,917",23546,Generation X
9717,Germany,1990,female,35-54 years,1128,10.5,"1,764,967,948,917",23546,Silent
9718,Germany,1990,female,25-34 years,434,6.86,"1,764,967,948,917",23546,Boomers
9719,Germany,1990,female,15-24 years,228,4.31,"1,764,967,948,917",23546,Generation X
9720,Germany,1990,male,5-14 years,22,0.51,"1,764,967,948,917",23546,Generation X
9721,Germany,1990,female,5-14 years,9,0.22,"1,764,967,948,917",23546,Generation X
9722,Germany,1991,male,75+ years,1459,87.89,"1,861,873,895,109",24662,G.I. Generation
9723,Germany,1991,male,55-74 years,2445,35.73,"1,861,873,895,109",24662,Silent
9724,Germany,1991,male,35-54 years,3427,30.66,"1,861,873,895,109",24662,Boomers
9725,Germany,1991,female,75+ years,1153,29.51,"1,861,873,895,109",24662,G.I. Generation
9726,Germany,1991,male,25-34 years,1523,22.0,"1,861,873,895,109",24662,Boomers
9727,Germany,1991,female,55-74 years,1400,16.07,"1,861,873,895,109",24662,Silent
9728,Germany,1991,male,15-24 years,775,14.42,"1,861,873,895,109",24662,Generation X
9729,Germany,1991,female,35-54 years,1200,11.13,"1,861,873,895,109",24662,Boomers
9730,Germany,1991,female,25-34 years,411,6.33,"1,861,873,895,109",24662,Boomers
9731,Germany,1991,female,15-24 years,185,3.63,"1,861,873,895,109",24662,Generation X
9732,Germany,1991,male,5-14 years,27,0.62,"1,861,873,895,109",24662,Millenials
