Country,Year,Suicides per 100k
Japan,1985,300.47
Japan,1986,323.55
Japan,1987,295.29
Japan,1988,284.72
Japan,1989,263.42
Japan,1990,246.37
Japan,1991,234.51
Japan,1992,240.28
Japan,1993,224.1
Japan,1994,228.95
Japan,1995,228.13
Japan,1996,228.48
Japan,1997,237.38
Japan,1998,306.6
Japan,1999,298.9
Japan,2000,278.52
Japan,2001,267.16
Japan,2002,265.84
Japan,2003,279.41
Japan,2004,266.25
Japan,2005,266.89
Japan,2006,262.24
Japan,2007,268.76
Japan,2008,265.32
Japan,2009,266.69
Japan,2010,255.48
Japan,2011,252.41
Japan,2012,233.7
Japan,2013,231.16
Japan,2014,218.21
Japan,2015,206.04
