,Country,Year,Sex,Age,Number of Suicides,Suicides per 100k,GDP for Year ($),GDP per Capita ($),Generation
13364,Japan,1985,male,75+ years,1340,74.82,"1,398,892,744,821",12401,G.I. Generation
13365,Japan,1985,female,75+ years,1553,54.26,"1,398,892,744,821",12401,G.I. Generation
13366,Japan,1985,male,55-74 years,3763,41.83,"1,398,892,744,821",12401,G.I. Generation
13367,Japan,1985,male,35-54 years,6962,39.04,"1,398,892,744,821",12401,Silent
13368,Japan,1985,male,25-34 years,1982,23.41,"1,398,892,744,821",12401,Boomers
13369,Japan,1985,female,55-74 years,2543,23.07,"1,398,892,744,821",12401,G.I. Generation
13370,Japan,1985,female,35-54 years,2582,14.38,"1,398,892,744,821",12401,Silent
13371,Japan,1985,male,15-24 years,1139,13.05,"1,398,892,744,821",12401,Generation X
13372,Japan,1985,female,25-34 years,817,9.82,"1,398,892,744,821",12401,Boomers
13373,Japan,1985,female,15-24 years,491,5.87,"1,398,892,744,821",12401,Generation X
13374,Japan,1985,male,5-14 years,59,0.63,"1,398,892,744,821",12401,Generation X
13375,Japan,1985,female,5-14 years,26,0.29,"1,398,892,744,821",12401,Generation X
13376,Japan,1986,male,75+ years,1488,78.77,"2,078,953,333,674",18288,G.I. Generation
13377,Japan,1986,female,75+ years,1801,59.07,"2,078,953,333,674",18288,G.I. Generation
13378,Japan,1986,male,55-74 years,4171,44.5,"2,078,953,333,674",18288,G.I. Generation
13379,Japan,1986,male,35-54 years,7298,40.33,"2,078,953,333,674",18288,Silent
13380,Japan,1986,female,55-74 years,2877,25.34,"2,078,953,333,674",18288,G.I. Generation
13381,Japan,1986,male,25-34 years,2057,25.09,"2,078,953,333,674",18288,Boomers
13382,Japan,1986,female,35-54 years,2787,15.33,"2,078,953,333,674",18288,Silent
13383,Japan,1986,male,15-24 years,1263,14.14,"2,078,953,333,674",18288,Generation X
13384,Japan,1986,female,25-34 years,936,11.63,"2,078,953,333,674",18288,Boomers
13385,Japan,1986,female,15-24 years,680,7.96,"2,078,953,333,674",18288,Generation X
13386,Japan,1986,male,5-14 years,73,0.79,"2,078,953,333,674",18288,Generation X
13387,Japan,1986,female,5-14 years,53,0.6,"2,078,953,333,674",18288,Generation X
13388,Japan,1987,male,75+ years,1446,72.96,"2,532,808,573,157",22137,G.I. Generation
13389,Japan,1987,female,75+ years,1718,53.19,"2,532,808,573,157",22137,G.I. Generation
13390,Japan,1987,male,55-74 years,3988,41.04,"2,532,808,573,157",22137,G.I. Generation
13391,Japan,1987,male,35-54 years,6688,36.71,"2,532,808,573,157",22137,Silent
13392,Japan,1987,female,55-74 years,2938,25.21,"2,532,808,573,157",22137,G.I. Generation
13393,Japan,1987,male,25-34 years,1904,23.71,"2,532,808,573,157",22137,Boomers
13394,Japan,1987,female,35-54 years,2496,13.64,"2,532,808,573,157",22137,Silent
13395,Japan,1987,male,15-24 years,1065,11.62,"2,532,808,573,157",22137,Generation X
13396,Japan,1987,female,25-34 years,782,9.93,"2,532,808,573,157",22137,Boomers
13397,Japan,1987,female,15-24 years,569,6.5,"2,532,808,573,157",22137,Generation X
13398,Japan,1987,male,5-14 years,52,0.58,"2,532,808,573,157",22137,Generation X
13399,Japan,1987,female,5-14 years,17,0.2,"2,532,808,573,157",22137,Generation X
13400,Japan,1988,male,75+ years,1490,72.19,"3,071,683,013,179",26687,G.I. Generation
