Country,Year,Number of Suicides
Japan,1985,23257
Japan,1986,25484
Japan,1987,23663
Japan,1988,22676
Japan,1989,21013
Japan,1990,20002
Japan,1991,19780
Japan,1992,20756
Japan,1993,20353
Japan,1994,20744
Japan,1995,21249
Japan,1996,21967
Japan,1997,23280
Japan,1998,31458
Japan,1999,31115
Japan,2000,29989
Japan,2001,29132
Japan,2002,29715
Japan,2003,31881
Japan,2004,30034
Japan,2005,30369
Japan,2006,29769
Japan,2007,30665
Japan,2008,30073
Japan,2009,30523
Japan,2010,29411
Japan,2011,28766
Japan,2012,26338
Japan,2013,25991
Japan,2014,24357
Japan,2015,23092
