,Country,Year,Sex,Age,Number of Suicides,Suicides per 100k,GDP for Year ($),GDP per Capita ($),Generation
18564,Paraguay,1985,male,75+ years,3,15.47,"2,966,234,106",964,G.I. Generation
18565,Paraguay,1985,male,55-74 years,8,6.21,"2,966,234,106",964,G.I. Generation
18566,Paraguay,1985,male,35-54 years,11,3.81,"2,966,234,106",964,Silent
18567,Paraguay,1985,female,55-74 years,4,2.86,"2,966,234,106",964,G.I. Generation
18568,Paraguay,1985,female,15-24 years,9,2.48,"2,966,234,106",964,Generation X
18569,Paraguay,1985,male,15-24 years,9,2.4,"2,966,234,106",964,Generation X
18570,Paraguay,1985,female,25-34 years,6,2.32,"2,966,234,106",964,Boomers
18571,Paraguay,1985,male,25-34 years,4,1.49,"2,966,234,106",964,Boomers
18572,Paraguay,1985,female,5-14 years,5,1.09,"2,966,234,106",964,Generation X
18573,Paraguay,1985,female,35-54 years,3,1.08,"2,966,234,106",964,Silent
18574,Paraguay,1985,male,5-14 years,1,0.21,"2,966,234,106",964,Generation X
18575,Paraguay,1985,female,75+ years,0,0.0,"2,966,234,106",964,G.I. Generation
18576,Paraguay,1986,male,55-74 years,9,6.83,"3,439,716,562",1086,G.I. Generation
18577,Paraguay,1986,male,75+ years,1,4.89,"3,439,716,562",1086,G.I. Generation
18578,Paraguay,1986,male,25-34 years,10,3.6,"3,439,716,562",1086,Boomers
18579,Paraguay,1986,female,15-24 years,12,3.24,"3,439,716,562",1086,Generation X
18580,Paraguay,1986,male,15-24 years,10,2.61,"3,439,716,562",1086,Generation X
18581,Paraguay,1986,female,35-54 years,6,2.07,"3,439,716,562",1086,Silent
18582,Paraguay,1986,female,55-74 years,2,1.4,"3,439,716,562",1086,G.I. Generation
18583,Paraguay,1986,female,25-34 years,3,1.12,"3,439,716,562",1086,Boomers
18584,Paraguay,1986,male,35-54 years,3,1.0,"3,439,716,562",1086,Silent
18585,Paraguay,1986,female,5-14 years,0,0.0,"3,439,716,562",1086,Generation X
18586,Paraguay,1986,female,75+ years,0,0.0,"3,439,716,562",1086,G.I. Generation
18587,Paraguay,1986,male,5-14 years,0,0.0,"3,439,716,562",1086,Generation X
18588,Paraguay,1987,male,75+ years,3,13.97,"3,778,316,380",1158,G.I. Generation
18589,Paraguay,1987,male,35-54 years,15,4.78,"3,778,316,380",1158,Silent
18590,Paraguay,1987,female,75+ years,1,3.42,"3,778,316,380",1158,G.I. Generation
18591,Paraguay,1987,female,15-24 years,12,3.18,"3,778,316,380",1158,Generation X
18592,Paraguay,1987,male,55-74 years,4,2.97,"3,778,316,380",1158,G.I. Generation
18593,Paraguay,1987,male,15-24 years,11,2.82,"3,778,316,380",1158,Generation X
18594,Paraguay,1987,male,25-34 years,6,2.1,"3,778,316,380",1158,Boomers
18595,Paraguay,1987,female,35-54 years,4,1.33,"3,778,316,380",1158,Silent
18596,Paraguay,1987,female,25-34 years,2,0.72,"3,778,316,380",1158,Boomers
18597,Paraguay,1987,female,55-74 years,1,0.69,"3,778,316,380",1158,G.I. Generation
18598,Paraguay,1987,female,5-14 years,3,0.62,"3,778,316,380",1158,Generation X
18599,Paraguay,1987,male,5-14 years,0,0.0,"3,778,316,380",1158,Generation X
18600,Paraguay,1989,male,75+ years,2,8.6,"4,599,970,618",1330,G.I. Generation
18601,Paraguay,1989,female,75+ years,2,6.37,"4,599,970,618",1330,G.I. Generation
18602,Paraguay,1989,male,35-54 years,17,4.95,"4,599,970,618",1330,Silent
18603,Paraguay,1989,male,55-74 years,6,4.26,"4,599,970,618",1330,G.I. Generation
18604,Paraguay,1989,male,25-34 years,11,3.64,"4,599,970,618",1330,Boomers
18605,Paraguay,1989,female,15-24 years,13,3.32,"4,599,970,618",1330,Generation X
18606,Paraguay,1989,male,15-24 years,12,2.98,"4,599,970,618",1330,Generation X
18607,Paraguay,1989,female,25-34 years,3,1.02,"4,599,970,618",1330,Boomers
18608,Paraguay,1989,female,5-14 years,1,0.19,"4,599,970,618",1330,Generation X
18609,Paraguay,1989,female,35-54 years,0,0.0,"4,599,970,618",1330,Silent
18610,Paraguay,1989,female,55-74 years,0,0.0,"4,599,970,618",1330,G.I. Generation
18611,Paraguay,1989,male,5-14 years,0,0.0,"4,599,970,618",1330,Generation X
18612,Paraguay,1990,male,75+ years,3,12.47,"5,695,201,563",1600,G.I. Generation
18613,Paraguay,1990,female,15-24 years,24,6.02,"5,695,201,563",1600,Generation X
18614,Paraguay,1990,male,15-24 years,23,5.62,"5,695,201,563",1600,Generation X
18615,Paraguay,1990,female,55-74 years,6,3.87,"5,695,201,563",1600,G.I. Generation
18616,Paraguay,1990,male,25-34 years,10,3.22,"5,695,201,563",1600,Boomers
18617,Paraguay,1990,female,75+ years,1,3.08,"5,695,201,563",1600,G.I. Generation
18618,Paraguay,1990,male,55-74 years,4,2.76,"5,695,201,563",1600,G.I. Generation
18619,Paraguay,1990,female,25-34 years,8,2.65,"5,695,201,563",1600,Boomers
18620,Paraguay,1990,male,35-54 years,9,2.52,"5,695,201,563",1600,Silent
18621,Paraguay,1990,female,35-54 years,7,2.05,"5,695,201,563",1600,Silent
18622,Paraguay,1990,female,5-14 years,4,0.75,"5,695,201,563",1600,Generation X
18623,Paraguay,1990,male,5-14 years,0,0.0,"5,695,201,563",1600,Generation X
18624,Paraguay,1991,male,55-74 years,8,5.38,"6,984,367,763",1907,Silent
18625,Paraguay,1991,male,75+ years,1,3.93,"6,984,367,763",1907,G.I. Generation
18626,Paraguay,1991,male,35-54 years,14,3.76,"6,984,367,763",1907,Boomers
18627,Paraguay,1991,male,15-24 years,15,3.6,"6,984,367,763",1907,Generation X
18628,Paraguay,1991,female,15-24 years,13,3.2,"6,984,367,763",1907,Generation X
18629,Paraguay,1991,male,25-34 years,8,2.51,"6,984,367,763",1907,Boomers
18630,Paraguay,1991,female,25-34 years,4,1.29,"6,984,367,763",1907,Boomers
18631,Paraguay,1991,female,55-74 years,2,1.26,"6,984,367,763",1907,Silent
18632,Paraguay,1991,female,35-54 years,4,1.13,"6,984,367,763",1907,Boomers
18633,Paraguay,1991,female,5-14 years,4,0.73,"6,984,367,763",1907,Millenials
18634,Paraguay,1991,male,5-14 years,2,0.35,"6,984,367,763",1907,Millenials
18635,Paraguay,1991,female,75+ years,0,0.0,"6,984,367,763",1907,G.I. Generation
18636,Paraguay,1994,male,55-74 years,16,9.8,"7,870,982,171",1981,Silent
18637,Paraguay,1994,male,75+ years,2,6.88,"7,870,982,171",1981,G.I. Generation
