Country,Year,Number of Suicides
Paraguay,1985,63
Paraguay,1986,56
Paraguay,1987,62
Paraguay,1989,67
Paraguay,1990,99
Paraguay,1991,75
Paraguay,1994,108
Paraguay,1995,118
Paraguay,1996,99
Paraguay,1997,126
Paraguay,1998,138
Paraguay,1999,161
Paraguay,2000,154
Paraguay,2001,152
Paraguay,2002,177
Paraguay,2003,174
Paraguay,2004,234
Paraguay,2005,239
Paraguay,2006,251
Paraguay,2007,227
Paraguay,2008,222
Paraguay,2009,283
Paraguay,2010,223
Paraguay,2011,298
Paraguay,2012,275
Paraguay,2013,323
Paraguay,2014,379
