,Country,Year,Sex,Age,Number of Suicides,Suicides per 100k,GDP for Year ($),GDP per Capita ($),Generation
20936,Russian Federation,1989,male,75+ years,1393,103.25,"506,500,173,960",3740,G.I. Generation
20937,Russian Federation,1989,male,35-54 years,12030,66.62,"506,500,173,960",3740,Silent
20938,Russian Federation,1989,male,55-74 years,6250,66.6,"506,500,173,960",3740,G.I. Generation
20939,Russian Federation,1989,male,25-34 years,6856,53.78,"506,500,173,960",3740,Boomers
20940,Russian Federation,1989,female,75+ years,1677,35.39,"506,500,173,960",3740,G.I. Generation
20941,Russian Federation,1989,male,15-24 years,2581,25.62,"506,500,173,960",3740,Generation X
20942,Russian Federation,1989,female,55-74 years,3042,19.6,"506,500,173,960",3740,G.I. Generation
20943,Russian Federation,1989,female,35-54 years,2326,12.04,"506,500,173,960",3740,Silent
20944,Russian Federation,1989,female,25-34 years,827,6.63,"506,500,173,960",3740,Boomers
20945,Russian Federation,1989,female,15-24 years,628,6.51,"506,500,173,960",3740,Generation X
20946,Russian Federation,1989,male,5-14 years,263,2.34,"506,500,173,960",3740,Generation X
20947,Russian Federation,1989,female,5-14 years,48,0.44,"506,500,173,960",3740,Generation X
20948,Russian Federation,1990,male,75+ years,1366,98.81,"516,814,274,022",3789,G.I. Generation
20949,Russian Federation,1990,male,35-54 years,12517,67.68,"516,814,274,022",3789,Silent
20950,Russian Federation,1990,male,55-74 years,6401,66.83,"516,814,274,022",3789,G.I. Generation
20951,Russian Federation,1990,male,25-34 years,6868,55.04,"516,814,274,022",3789,Boomers
20952,Russian Federation,1990,female,75+ years,1608,33.17,"516,814,274,022",3789,G.I. Generation
20953,Russian Federation,1990,male,15-24 years,2874,28.57,"516,814,274,022",3789,Generation X
20954,Russian Federation,1990,female,55-74 years,3064,19.72,"516,814,274,022",3789,G.I. Generation
20955,Russian Federation,1990,female,35-54 years,2467,12.5,"516,814,274,022",3789,Silent
20956,Russian Federation,1990,female,25-34 years,910,7.46,"516,814,274,022",3789,Boomers
20957,Russian Federation,1990,female,15-24 years,641,6.64,"516,814,274,022",3789,Generation X
20958,Russian Federation,1990,male,5-14 years,260,2.28,"516,814,274,022",3789,Generation X
20959,Russian Federation,1990,female,5-14 years,52,0.47,"516,814,274,022",3789,Generation X
20960,Russian Federation,1991,male,75+ years,1326,96.72,"517,962,962,963",3773,G.I. Generation
20961,Russian Federation,1991,male,35-54 years,12746,67.86,"517,962,962,963",3773,Boomers
20962,Russian Federation,1991,male,55-74 years,6566,66.36,"517,962,962,963",3773,Silent
20963,Russian Federation,1991,male,25-34 years,6901,56.76,"517,962,962,963",3773,Boomers
20964,Russian Federation,1991,female,75+ years,1510,31.26,"517,962,962,963",3773,G.I. Generation
20965,Russian Federation,1991,male,15-24 years,2984,29.51,"517,962,962,963",3773,Generation X
20966,Russian Federation,1991,female,55-74 years,2926,18.54,"517,962,962,963",3773,Silent
20967,Russian Federation,1991,female,35-54 years,2429,12.15,"517,962,962,963",3773,Boomers
20968,Russian Federation,1991,female,25-34 years,888,7.46,"517,962,962,963",3773,Boomers
20969,Russian Federation,1991,female,15-24 years,642,6.62,"517,962,962,963",3773,Generation X
20970,Russian Federation,1991,male,5-14 years,298,2.58,"517,962,962,963",3773,Millenials
20971,Russian Federation,1991,female,5-14 years,65,0.58,"517,962,962,963",3773,Millenials
20972,Russian Federation,1992,male,75+ years,1233,91.98,"460,290,556,901",3333,G.I. Generation
20973,Russian Federation,1992,male,35-54 years,15824,83.58,"460,290,556,901",3333,Boomers
20974,Russian Federation,1992,male,55-74 years,8014,77.66,"460,290,556,901",3333,Silent
20975,Russian Federation,1992,male,25-34 years,7958,67.59,"460,290,556,901",3333,Boomers
20976,Russian Federation,1992,male,15-24 years,3447,33.68,"460,290,556,901",3333,Generation X
20977,Russian Federation,1992,female,75+ years,1458,30.75,"460,290,556,901",3333,G.I. Generation
20978,Russian Federation,1992,female,55-74 years,3133,19.33,"460,290,556,901",3333,Silent
20979,Russian Federation,1992,female,35-54 years,2768,13.78,"460,290,556,901",3333,Boomers
20980,Russian Federation,1992,female,25-34 years,990,8.56,"460,290,556,901",3333,Boomers
20981,Russian Federation,1992,female,15-24 years,704,7.19,"460,290,556,901",3333,Generation X
20982,Russian Federation,1992,male,5-14 years,318,2.71,"460,290,556,901",3333,Millenials
20983,Russian Federation,1992,female,5-14 years,76,0.67,"460,290,556,901",3333,Millenials
20984,Russian Federation,1993,male,35-54 years,20256,107.13,"435,083,713,851",3160,Boomers
20985,Russian Federation,1993,male,75+ years,1364,104.75,"435,083,713,851",3160,G.I. Generation
20986,Russian Federation,1993,male,55-74 years,10118,94.73,"435,083,713,851",3160,Silent
20987,Russian Federation,1993,male,25-34 years,9328,82.84,"435,083,713,851",3160,Boomers
20988,Russian Federation,1993,male,15-24 years,4347,42.18,"435,083,713,851",3160,Generation X
20989,Russian Federation,1993,female,75+ years,1468,31.81,"435,083,713,851",3160,G.I. Generation
20990,Russian Federation,1993,female,55-74 years,3433,20.71,"435,083,713,851",3160,Silent
20991,Russian Federation,1993,female,35-54 years,3163,15.81,"435,083,713,851",3160,Boomers
20992,Russian Federation,1993,female,25-34 years,1154,10.43,"435,083,713,851",3160,Boomers
20993,Russian Federation,1993,female,15-24 years,785,7.99,"435,083,713,851",3160,Generation X
20994,Russian Federation,1993,male,5-14 years,337,2.86,"435,083,713,851",3160,Millenials
20995,Russian Federation,1993,female,5-14 years,93,0.82,"435,083,713,851",3160,Millenials
20996,Russian Federation,1994,male,35-54 years,22338,117.3,"395,077,301,248",2853,Boomers
20997,Russian Federation,1994,male,75+ years,1412,110.19,"395,077,301,248",2853,G.I. Generation
20998,Russian Federation,1994,male,55-74 years,11431,103.86,"395,077,301,248",2853,Silent
20999,Russian Federation,1994,male,25-34 years,10310,94.18,"395,077,301,248",2853,Boomers
21000,Russian Federation,1994,male,15-24 years,5177,49.22,"395,077,301,248",2853,Generation X
21001,Russian Federation,1994,female,75+ years,1454,32.12,"395,077,301,248",2853,G.I. Generation
21002,Russian Federation,1994,female,55-74 years,3489,20.55,"395,077,301,248",2853,Silent
21003,Russian Federation,1994,female,35-54 years,3257,16.18,"395,077,301,248",2853,Boomers
21004,Russian Federation,1994,female,25-34 years,1198,11.19,"395,077,301,248",2853,Boomers
21005,Russian Federation,1994,female,15-24 years,915,9.12,"395,077,301,248",2853,Generation X
21006,Russian Federation,1994,male,5-14 years,364,3.07,"395,077,301,248",2853,Millenials
21007,Russian Federation,1994,female,5-14 years,75,0.66,"395,077,301,248",2853,Millenials
21008,Russian Federation,1995,male,35-54 years,21706,112.76,"395,531,066,563",2844,Boomers
21009,Russian Federation,1995,male,55-74 years,11152,99.33,"395,531,066,563",2844,Silent
21010,Russian Federation,1995,male,75+ years,1182,93.89,"395,531,066,563",2844,G.I. Generation
21011,Russian Federation,1995,male,25-34 years,9787,91.46,"395,531,066,563",2844,Generation X
21012,Russian Federation,1995,male,15-24 years,5733,53.69,"395,531,066,563",2844,Generation X
21013,Russian Federation,1995,female,75+ years,1546,34.85,"395,531,066,563",2844,G.I. Generation
21014,Russian Federation,1995,female,55-74 years,3499,20.23,"395,531,066,563",2844,Silent
21015,Russian Federation,1995,female,35-54 years,3328,16.36,"395,531,066,563",2844,Boomers
21016,Russian Federation,1995,female,25-34 years,1179,11.36,"395,531,066,563",2844,Generation X
21017,Russian Federation,1995,female,15-24 years,1003,9.78,"395,531,066,563",2844,Generation X
21018,Russian Federation,1995,male,5-14 years,355,2.99,"395,531,066,563",2844,Millenials
21019,Russian Federation,1995,female,5-14 years,78,0.68,"395,531,066,563",2844,Millenials
21020,Russian Federation,1996,male,35-54 years,20562,105.41,"391,719,993,757",2813,Boomers
21021,Russian Federation,1996,male,75+ years,1192,95.91,"391,719,993,757",2813,G.I. Generation
21022,Russian Federation,1996,male,55-74 years,10754,94.65,"391,719,993,757",2813,Silent
21023,Russian Federation,1996,male,25-34 years,9214,88.23,"391,719,993,757",2813,Generation X
21024,Russian Federation,1996,male,15-24 years,5784,53.69,"391,719,993,757",2813,Generation X
21025,Russian Federation,1996,female,75+ years,1418,32.46,"391,719,993,757",2813,G.I. Generation
21026,Russian Federation,1996,female,55-74 years,3205,18.31,"391,719,993,757",2813,Silent
