Country,Year,Suicides per 100k
South Korea,1985,146.65
South Korea,1986,143.31
South Korea,1987,128.24
South Korea,1988,114.58
South Korea,1989,121.4
South Korea,1990,120.53
South Korea,1991,116.18
South Korea,1992,127.39
South Korea,1993,159.48
South Korea,1994,165.4
South Korea,1995,179.28
South Korea,1996,216.99
South Korea,1997,226.8
South Korea,1998,302.32
South Korea,1999,257.52
South Korea,2000,248.59
South Korea,2001,273.54
South Korea,2002,361.04
South Korea,2003,454.12
South Korea,2004,469.7
South Korea,2005,479.04
South Korea,2006,420.46
South Korea,2007,466.54
South Korea,2008,452.28
South Korea,2009,519.52
South Korea,2010,518.2
South Korea,2011,515.05
South Korea,2012,443.26
South Korea,2013,428.57
South Korea,2014,385.33
South Korea,2015,389.14
