,Country,Year,Sex,Age,Number of Suicides,Suicides per 100k,GDP for Year ($),GDP per Capita ($),Generation
20230,Republic of Korea,1985,male,75+ years,42,27.13,"100,273,097,170",2731,G.I. Generation
20231,Republic of Korea,1985,male,55-74 years,393,26.23,"100,273,097,170",2731,G.I. Generation
20232,Republic of Korea,1985,male,35-54 years,903,21.07,"100,273,097,170",2731,Silent
20233,Republic of Korea,1985,male,25-34 years,655,18.11,"100,273,097,170",2731,Boomers
20234,Republic of Korea,1985,male,15-24 years,678,15.36,"100,273,097,170",2731,Generation X
20235,Republic of Korea,1985,female,75+ years,38,10.25,"100,273,097,170",2731,G.I. Generation
20236,Republic of Korea,1985,female,55-74 years,161,8.05,"100,273,097,170",2731,G.I. Generation
20237,Republic of Korea,1985,female,15-24 years,296,7.14,"100,273,097,170",2731,Generation X
20238,Republic of Korea,1985,female,25-34 years,228,6.39,"100,273,097,170",2731,Boomers
20239,Republic of Korea,1985,female,35-54 years,262,6.14,"100,273,097,170",2731,Silent
20240,Republic of Korea,1985,male,5-14 years,20,0.46,"100,273,097,170",2731,Generation X
20241,Republic of Korea,1985,female,5-14 years,13,0.32,"100,273,097,170",2731,Generation X
20242,Republic of Korea,1986,male,75+ years,59,36.76,"115,537,126,326",3078,G.I. Generation
20243,Republic of Korea,1986,male,55-74 years,377,24.24,"115,537,126,326",3078,G.I. Generation
20244,Republic of Korea,1986,male,35-54 years,827,18.35,"115,537,126,326",3078,Silent
20245,Republic of Korea,1986,male,25-34 years,671,17.51,"115,537,126,326",3078,Boomers
20246,Republic of Korea,1986,male,15-24 years,616,13.69,"115,537,126,326",3078,Generation X
20247,Republic of Korea,1986,female,75+ years,30,7.94,"115,537,126,326",3078,G.I. Generation
20248,Republic of Korea,1986,female,25-34 years,250,6.84,"115,537,126,326",3078,Boomers
20249,Republic of Korea,1986,female,55-74 years,129,6.32,"115,537,126,326",3078,G.I. Generation
20250,Republic of Korea,1986,female,15-24 years,237,5.58,"115,537,126,326",3078,Generation X
20251,Republic of Korea,1986,female,35-54 years,236,5.46,"115,537,126,326",3078,Silent
20252,Republic of Korea,1986,male,5-14 years,18,0.42,"115,537,126,326",3078,Generation X
20253,Republic of Korea,1986,female,5-14 years,8,0.2,"115,537,126,326",3078,Generation X
20254,Republic of Korea,1987,male,75+ years,44,26.88,"146,133,338,196",3834,G.I. Generation
20255,Republic of Korea,1987,male,55-74 years,380,23.63,"146,133,338,196",3834,G.I. Generation
20256,Republic of Korea,1987,male,25-34 years,675,16.99,"146,133,338,196",3834,Boomers
20257,Republic of Korea,1987,male,35-54 years,781,16.91,"146,133,338,196",3834,Silent
20258,Republic of Korea,1987,male,15-24 years,493,10.87,"146,133,338,196",3834,Generation X
20259,Republic of Korea,1987,female,75+ years,30,7.7,"146,133,338,196",3834,G.I. Generation
20260,Republic of Korea,1987,female,55-74 years,152,7.19,"146,133,338,196",3834,G.I. Generation
20261,Republic of Korea,1987,female,25-34 years,254,6.66,"146,133,338,196",3834,Boomers
20262,Republic of Korea,1987,female,35-54 years,229,5.22,"146,133,338,196",3834,Silent
20263,Republic of Korea,1987,female,15-24 years,221,5.18,"146,133,338,196",3834,Generation X
20264,Republic of Korea,1987,male,5-14 years,27,0.63,"146,133,338,196",3834,Generation X
20265,Republic of Korea,1987,female,5-14 years,15,0.38,"146,133,338,196",3834,Generation X
20266,Republic of Korea,1988,male,75+ years,44,24.58,"196,964,195,387",5089,G.I. Generation
20267,Republic of Korea,1988,male,55-74 years,281,16.68,"196,964,195,387",5089,G.I. Generation
20268,Republic of Korea,1988,male,35-54 years,691,14.71,"196,964,195,387",5089,Silent
20269,Republic of Korea,1988,male,25-34 years,575,13.9,"196,964,195,387",5089,Boomers
20270,Republic of Korea,1988,female,75+ years,47,11.4,"196,964,195,387",5089,G.I. Generation
20271,Republic of Korea,1988,male,15-24 years,513,11.39,"196,964,195,387",5089,Generation X
20272,Republic of Korea,1988,female,55-74 years,141,6.39,"196,964,195,387",5089,G.I. Generation
20273,Republic of Korea,1988,female,25-34 years,206,5.19,"196,964,195,387",5089,Boomers
20274,Republic of Korea,1988,female,15-24 years,212,4.98,"196,964,195,387",5089,Generation X
20275,Republic of Korea,1988,female,35-54 years,213,4.73,"196,964,195,387",5089,Silent
20276,Republic of Korea,1988,male,5-14 years,14,0.33,"196,964,195,387",5089,Generation X
20277,Republic of Korea,1988,female,5-14 years,12,0.3,"196,964,195,387",5089,Generation X
20278,Republic of Korea,1989,male,75+ years,59,31.62,"243,526,047,717",6217,G.I. Generation
20279,Republic of Korea,1989,male,55-74 years,314,17.8,"243,526,047,717",6217,G.I. Generation
20280,Republic of Korea,1989,male,35-54 years,693,14.38,"243,526,047,717",6217,Silent
20281,Republic of Korea,1989,male,25-34 years,574,13.54,"243,526,047,717",6217,Boomers
20282,Republic of Korea,1989,female,75+ years,46,10.7,"243,526,047,717",6217,G.I. Generation
20283,Republic of Korea,1989,male,15-24 years,464,10.31,"243,526,047,717",6217,Generation X
20284,Republic of Korea,1989,female,55-74 years,136,5.91,"243,526,047,717",6217,G.I. Generation
20285,Republic of Korea,1989,female,25-34 years,233,5.73,"243,526,047,717",6217,Boomers
20286,Republic of Korea,1989,female,35-54 years,262,5.67,"243,526,047,717",6217,Silent
20287,Republic of Korea,1989,female,15-24 years,207,4.86,"243,526,047,717",6217,Generation X
20288,Republic of Korea,1989,male,5-14 years,20,0.49,"243,526,047,717",6217,Generation X
20289,Republic of Korea,1989,female,5-14 years,15,0.39,"243,526,047,717",6217,Generation X
20290,Republic of Korea,1990,male,75+ years,53,27.26,"279,349,355,714",7056,G.I. Generation
20291,Republic of Korea,1990,male,55-74 years,352,18.93,"279,349,355,714",7056,G.I. Generation
20292,Republic of Korea,1990,male,35-54 years,736,14.78,"279,349,355,714",7056,Silent
20293,Republic of Korea,1990,male,25-34 years,550,12.88,"279,349,355,714",7056,Boomers
20294,Republic of Korea,1990,female,75+ years,52,11.55,"279,349,355,714",7056,G.I. Generation
20295,Republic of Korea,1990,male,15-24 years,480,10.66,"279,349,355,714",7056,Generation X
20296,Republic of Korea,1990,female,25-34 years,269,6.56,"279,349,355,714",7056,Boomers
20297,Republic of Korea,1990,female,55-74 years,153,6.37,"279,349,355,714",7056,G.I. Generation
20298,Republic of Korea,1990,female,15-24 years,232,5.46,"279,349,355,714",7056,Generation X
20299,Republic of Korea,1990,female,35-54 years,242,5.06,"279,349,355,714",7056,Silent
20300,Republic of Korea,1990,male,5-14 years,26,0.65,"279,349,355,714",7056,Generation X
20301,Republic of Korea,1990,female,5-14 years,14,0.37,"279,349,355,714",7056,Generation X
20302,Republic of Korea,1991,male,75+ years,55,26.99,"325,734,233,313",8145,G.I. Generation
20303,Republic of Korea,1991,male,55-74 years,331,16.98,"325,734,233,313",8145,Silent
20304,Republic of Korea,1991,male,35-54 years,708,13.74,"325,734,233,313",8145,Boomers
20305,Republic of Korea,1991,male,25-34 years,568,13.27,"325,734,233,313",8145,Boomers
20306,Republic of Korea,1991,female,75+ years,56,11.94,"325,734,233,313",8145,G.I. Generation
20307,Republic of Korea,1991,male,15-24 years,451,10.06,"325,734,233,313",8145,Generation X
20308,Republic of Korea,1991,female,55-74 years,154,6.19,"325,734,233,313",8145,Silent
20309,Republic of Korea,1991,female,25-34 years,247,6.0,"325,734,233,313",8145,Boomers
20310,Republic of Korea,1991,female,35-54 years,256,5.17,"325,734,233,313",8145,Boomers
20311,Republic of Korea,1991,female,15-24 years,201,4.76,"325,734,233,313",8145,Generation X
20312,Republic of Korea,1991,male,5-14 years,26,0.65,"325,734,233,313",8145,Millenials
20313,Republic of Korea,1991,female,5-14 years,16,0.43,"325,734,233,313",8145,Millenials
20314,Republic of Korea,1992,male,75+ years,56,26.17,"350,051,111,253",8671,G.I. Generation
20315,Republic of Korea,1992,male,55-74 years,438,21.44,"350,051,111,253",8671,Silent
20316,Republic of Korea,1992,male,35-54 years,823,15.48,"350,051,111,253",8671,Boomers
20317,Republic of Korea,1992,male,25-34 years,644,15.0,"350,051,111,253",8671,Boomers
20318,Republic of Korea,1992,female,75+ years,60,12.32,"350,051,111,253",8671,G.I. Generation
20319,Republic of Korea,1992,male,15-24 years,480,10.77,"350,051,111,253",8671,Generation X
20320,Republic of Korea,1992,female,55-74 years,182,7.06,"350,051,111,253",8671,Silent
20321,Republic of Korea,1992,female,25-34 years,267,6.47,"350,051,111,253",8671,Boomers
20322,Republic of Korea,1992,female,35-54 years,312,6.09,"350,051,111,253",8671,Boomers
