Country,Year,Number of Suicides
South Korea,1985,3689
South Korea,1986,3458
South Korea,1987,3301
South Korea,1988,2949
South Korea,1989,3023
South Korea,1990,3159
South Korea,1991,3069
South Korea,1992,3533
South Korea,1993,4124
South Korea,1994,4212
South Korea,1995,4841
South Korea,1996,5857
South Korea,1997,6024
South Korea,1998,8569
South Korea,1999,7075
South Korea,2000,6444
South Korea,2001,6911
South Korea,2002,8611
South Korea,2003,10898
South Korea,2004,11492
South Korea,2005,12011
South Korea,2006,10653
South Korea,2007,12174
South Korea,2008,12858
South Korea,2009,15402
South Korea,2010,15558
South Korea,2011,15906
South Korea,2012,14159
South Korea,2013,14426
South Korea,2014,13834
South Korea,2015,13510
