,Location,Year,Population
0,AL,2010,4785437
1,AK,2010,713910
2,AZ,2010,6407172
3,AR,2010,2921964
4,CA,2010,37319502
5,CO,2010,5047349
6,CT,2010,3579114
7,DE,2010,899593
8,FL,2010,18845537
9,GA,2010,9711881
10,HI,2010,1363963
11,ID,2010,1570746
12,IL,2010,12840503
13,IN,2010,6490432
14,IA,2010,3050745
15,KS,2010,2858190
16,KY,2010,4348181
17,LA,2010,4544532
18,ME,2010,1327629
19,MD,2010,5788645
20,MA,2010,6566307
21,MI,2010,9877510
22,MN,2010,5310828
23,MS,2010,2970548
24,MO,2010,5995974
25,MT,2010,990697
26,NE,2010,1829542
27,NV,2010,2702405
28,NH,2010,1316762
29,NJ,2010,8799446
30,NM,2010,2064552
31,NY,2010,19399878
32,NC,2010,9574323
33,ND,2010,674715
34,OH,2010,11539336
35,OK,2010,3759944
36,OR,2010,3837491
37,PA,2010,12711160
38,RI,2010,1053959
39,SC,2010,4635649
40,SD,2010,816166
41,TN,2010,6355311
42,TX,2010,25241971
43,UT,2010,2775332
44,VT,2010,625879
45,VA,2010,8023699
46,WA,2010,6742830
47,WV,2010,1854239
48,WI,2010,5690475
49,WY,2010,564487
50,AL,2011,4799069
51,AK,2011,722128
52,AZ,2011,6472643
53,AR,2011,2940667
54,CA,2011,37638369
55,CO,2011,5121108
56,CT,2011,3588283
57,DE,2011,907381
58,FL,2011,19053237
59,GA,2011,9802431
60,HI,2011,1379329
61,ID,2011,1583910
62,IL,2011,12867454
63,IN,2011,6516528
64,IA,2011,3066336
65,KS,2011,2869225
66,KY,2011,4369821
67,LA,2011,4575625
68,ME,2011,1328284
69,MD,2011,5839419
70,MA,2011,6613583
71,MI,2011,9882412
72,MN,2011,5346143
73,MS,2011,2978731
74,MO,2011,6010275
75,MT,2011,997316
76,NE,2011,1840672
77,NV,2011,2712730
78,NH,2011,1320202
79,NJ,2011,8828117
80,NM,2011,2080450
81,NY,2011,19499241
82,NC,2011,9657592
