Year,Location,Population,Total Suicides (18 to 24),Total Suicides (25 to 34),Total Suicides (35 to 44),Total Suicides (45 to 54),Total Suicides (55+),Suicides per 100k (18 to 24),Suicides per 100k (25 to 34),Suicides per 100k (35 to 44),Suicides per 100k (45 to 54),Suicides per 100k (55+)
1999,AL,4430141.0,75.0,83.0,120.0,105.0,172.0,1.6929483734264892,1.873529533258648,2.7087173974823826,2.3701277227970845,3.882494936391415
1999,AK,624779.0,15.0,19.0,21.0,28.0,13.0,2.4008489401852495,3.041075324234649,3.3611885162593493,4.481584688345799,2.0807357481605493
1999,AZ,5023823.0,58.0,143.0,152.0,161.0,252.0,1.154499272764984,2.846437862161943,3.0255843010392685,3.204730739916594,5.016100288565102
1999,AR,2651860.0,48.0,59.0,70.0,59.0,100.0,1.8100503043147074,2.2248534990534945,2.6396566937922814,2.2248534990534945,3.7709381339889743
1999,CA,33499204.0,266.0,515.0,647.0,683.0,966.0,0.7940487182919332,1.5373499621065623,1.9313891756950403,2.038854415764625,2.8836506085338622
1999,CO,4226018.0,63.0,102.0,135.0,135.0,139.0,1.4907650653641324,2.413619629637167,3.194496568637427,3.194496568637427,3.289148318819276
1999,CT,3386401.0,25.0,40.0,57.0,61.0,91.0,0.7382468880678927,1.1811950209086284,1.6832029047947954,1.8013224068856584,2.6872186725671297
1999,DE,774990.0,,17.0,27.0,,16.0,,2.193576691312146,3.4839159214957616,,2.0645427682937845
1999,FL,15759421.0,132.0,291.0,448.0,415.0,743.0,0.8375942237979428,1.8465145388272832,2.842744032283927,2.6333454763344415,4.714640214256603
1999,GA,8045965.0,102.0,187.0,174.0,162.0,248.0,1.2677161782334374,2.3241463267613023,2.1625746569864526,2.0134315771942832,3.0822903157048285
1999,HI,1210300.0,13.0,38.0,31.0,24.0,30.0,1.074113856068743,3.139717425431711,2.56134842601008,1.982979426588449,2.4787242832355614
1999,ID,1275674.0,18.0,27.0,43.0,35.0,58.0,1.4110188026094441,2.116528203914166,3.3707671395670054,2.743647671740586,4.546616141741542
1999,IL,12359020.0,112.0,186.0,238.0,207.0,277.0,0.9062207197658068,1.5049736953253574,1.9257190295023394,1.6748900802814461,2.241278030135075
1999,IN,6044970.0,81.0,121.0,147.0,128.0,151.0,1.3399570221192165,2.0016641935361137,2.4317738549570964,2.1174629485340706,2.497944572098786
1999,IA,2917634.0,37.0,46.0,60.0,66.0,96.0,1.2681508372880217,1.5766199598715946,2.0564608172238192,2.262106898946201,3.29033730755811
1999,KS,2678338.0,45.0,55.0,61.0,68.0,70.0,1.6801464191599418,2.0535122900843734,2.2775318126390323,2.538887922286134,2.6135610964710208
1999,KY,4018053.0,43.0,87.0,117.0,96.0,127.0,1.0701700549992745,2.1652277856962066,2.9118580566259333,2.3892168669751244,3.1607348136025086
1999,LA,4460811.0,66.0,101.0,98.0,112.0,141.0,1.4795515882650037,2.2641622790115967,2.1969099340904603,2.5107542103890976,3.160860211293417
1999,ME,1266808.0,11.0,33.0,43.0,38.0,50.0,0.8683241659351694,2.604972497805508,3.3943581032011165,2.9996653005033123,3.9469280269780422
1999,MD,5254509.0,51.0,80.0,98.0,87.0,119.0,0.9705949690066189,1.5225019121672454,1.8650648424048755,1.6557208294818793,2.2647215943487775
1999,MA,6317345.0,33.0,84.0,106.0,96.0,112.0,0.5223713442909956,1.3296725127407163,1.67792007560138,1.519625728846533,1.7728966836542883
1999,MI,9897116.0,111.0,189.0,217.0,216.0,241.0,1.1215388402035502,1.9096472144006396,2.192557912830364,2.1824539593150165,2.4350527971986993
1999,MN,4873481.0,62.0,68.0,112.0,95.0,100.0,1.2721912735475935,1.3953065580844575,2.298151978021459,1.949325338500345,2.0519214089477313
1999,MS,2828408.0,33.0,42.0,75.0,48.0,106.0,1.1667340779689492,1.4849342810513901,2.651668359020339,1.697067749773017,3.7476912807487466
1999,MO,5561948.0,78.0,124.0,160.0,140.0,198.0,1.4023863581608458,2.2294347232300624,2.8766899654581453,2.517103719775877,3.559903832254455
1999,MT,897508.0,22.0,14.0,36.0,33.0,57.0,2.4512316324756998,1.5598746752118087,4.011106307687508,3.6768474487135494,6.350918320505221
1999,NE,1704764.0,24.0,38.0,40.0,36.0,39.0,1.407819498769331,2.2290475397181075,2.3463658312822187,2.1117292481539964,2.2877066855001633
