Year,Location,18 to 24,25 to 34,35 to 44,45 to 54,55+,Total
1999,AL,75.0,83.0,120.0,105.0,172.0,555.0
1999,AK,15.0,19.0,21.0,28.0,13.0,96.0
1999,AZ,58.0,143.0,152.0,161.0,252.0,766.0
1999,AR,48.0,59.0,70.0,59.0,100.0,336.0
1999,CA,266.0,515.0,647.0,683.0,966.0,3077.0
1999,CO,63.0,102.0,135.0,135.0,139.0,574.0
1999,CT,25.0,40.0,57.0,61.0,91.0,274.0
1999,DE,,17.0,27.0,,16.0,86.0
1999,FL,132.0,291.0,448.0,415.0,743.0,2029.0
1999,GA,102.0,187.0,174.0,162.0,248.0,873.0
1999,HI,13.0,38.0,31.0,24.0,30.0,136.0
1999,ID,18.0,27.0,43.0,35.0,58.0,181.0
1999,IL,112.0,186.0,238.0,207.0,277.0,1020.0
1999,IN,81.0,121.0,147.0,128.0,151.0,628.0
1999,IA,37.0,46.0,60.0,66.0,96.0,305.0
1999,KS,45.0,55.0,61.0,68.0,70.0,299.0
1999,KY,43.0,87.0,117.0,96.0,127.0,470.0
1999,LA,66.0,101.0,98.0,112.0,141.0,518.0
1999,ME,11.0,33.0,43.0,38.0,50.0,175.0
1999,MD,51.0,80.0,98.0,87.0,119.0,435.0
1999,MA,33.0,84.0,106.0,96.0,112.0,431.0
1999,MI,111.0,189.0,217.0,216.0,241.0,974.0
1999,MN,62.0,68.0,112.0,95.0,100.0,437.0
1999,MS,33.0,42.0,75.0,48.0,106.0,304.0
1999,MO,78.0,124.0,160.0,140.0,198.0,700.0
1999,MT,22.0,14.0,36.0,33.0,57.0,162.0
1999,NE,24.0,38.0,40.0,36.0,39.0,177.0
1999,NV,33.0,74.0,77.0,81.0,139.0,404.0
1999,NH,19.0,29.0,25.0,36.0,28.0,137.0
1999,NJ,55.0,92.0,142.0,104.0,170.0,563.0
1999,NM,50.0,54.0,69.0,68.0,77.0,318.0
1999,NY,129.0,211.0,251.0,251.0,354.0,1196.0
1999,NC,105.0,164.0,192.0,199.0,224.0,884.0
1999,ND,10.0,13.0,11.0,16.0,23.0,73.0
1999,OH,128.0,185.0,249.0,198.0,342.0,1102.0
1999,OK,67.0,106.0,114.0,93.0,112.0,492.0
1999,OR,44.0,68.0,102.0,112.0,152.0,478.0
1999,PA,133.0,218.0,309.0,256.0,368.0,1284.0
1999,RI,10.0,19.0,29.0,16.0,22.0,96.0
1999,SC,51.0,61.0,96.0,87.0,123.0,418.0
1999,SD,22.0,14.0,16.0,30.0,21.0,103.0
1999,TN,63.0,153.0,173.0,150.0,187.0,726.0
1999,TX,235.0,364.0,457.0,427.0,522.0,2005.0
1999,UT,51.0,55.0,68.0,55.0,53.0,282.0
1999,VT,,,17.0,,22.0,63.0
1999,VA,72.0,150.0,172.0,169.0,228.0,791.0
1999,WA,100.0,134.0,173.0,174.0,235.0,816.0
1999,WV,22.0,29.0,47.0,60.0,71.0,229.0
1999,WI,87.0,94.0,122.0,131.0,159.0,593.0
1999,WY,13.0,17.0,11.0,25.0,32.0,98.0
2000,AL,56.0,98.0,141.0,108.0,180.0,583.0
2000,AK,35.0,24.0,32.0,36.0,10.0,137.0
2000,AZ,112.0,118.0,164.0,164.0,226.0,784.0
2000,AR,39.0,66.0,72.0,59.0,113.0,349.0
2000,CA,255.0,482.0,617.0,637.0,978.0,2969.0
2000,CO,69.0,114.0,125.0,167.0,138.0,613.0
2000,CT,25.0,43.0,74.0,78.0,84.0,304.0
2000,DE,,12.0,22.0,,24.0,82.0
2000,FL,158.0,253.0,435.0,457.0,783.0,2086.0
2000,GA,113.0,142.0,172.0,190.0,230.0,847.0
2000,HI,18.0,26.0,31.0,28.0,34.0,137.0
2000,ID,26.0,28.0,28.0,34.0,51.0,167.0
2000,IL,123.0,171.0,224.0,198.0,287.0,1003.0
2000,IN,82.0,122.0,164.0,148.0,167.0,683.0
2000,IA,34.0,51.0,66.0,65.0,73.0,289.0
2000,KS,40.0,58.0,68.0,75.0,84.0,325.0
2000,KY,59.0,95.0,124.0,103.0,140.0,521.0
2000,LA,65.0,94.0,94.0,91.0,124.0,468.0
2000,ME,20.0,21.0,42.0,34.0,37.0,154.0
2000,MD,57.0,78.0,87.0,119.0,133.0,474.0
2000,MA,42.0,72.0,96.0,95.0,82.0,387.0
2000,MI,99.0,160.0,223.0,222.0,270.0,974.0
2000,MN,55.0,81.0,108.0,103.0,93.0,440.0
2000,MS,38.0,53.0,68.0,64.0,71.0,294.0
2000,MO,76.0,114.0,183.0,141.0,185.0,699.0
2000,MT,16.0,26.0,35.0,34.0,47.0,158.0
2000,NE,30.0,26.0,37.0,50.0,50.0,193.0
2000,NV,34.0,69.0,82.0,105.0,110.0,400.0
2000,NH,,16.0,46.0,,34.0,131.0
2000,NJ,45.0,78.0,128.0,139.0,170.0,560.0
2000,NM,50.0,62.0,64.0,71.0,80.0,327.0
2000,NY,149.0,192.0,239.0,231.0,321.0,1132.0
2000,NC,96.0,181.0,235.0,210.0,249.0,971.0
2000,ND,11.0,12.0,14.0,13.0,18.0,68.0
2000,OH,115.0,161.0,258.0,242.0,312.0,1088.0
2000,OK,59.0,98.0,125.0,104.0,111.0,497.0
2000,OR,62.0,65.0,88.0,119.0,159.0,493.0
2000,PA,130.0,206.0,317.0,308.0,395.0,1356.0
2000,RI,12.0,12.0,16.0,19.0,16.0,75.0
2000,SC,42.0,69.0,93.0,108.0,131.0,443.0
2000,SD,13.0,24.0,14.0,23.0,21.0,95.0
2000,TN,76.0,120.0,179.0,149.0,206.0,730.0
2000,TX,260.0,368.0,439.0,504.0,482.0,2053.0
2000,UT,50.0,48.0,78.0,69.0,53.0,298.0
2000,VT,,12.0,14.0,,21.0,77.0
2000,VA,62.0,110.0,196.0,164.0,236.0,768.0
2000,WA,68.0,118.0,170.0,161.0,210.0,727.0
2000,WV,23.0,32.0,64.0,62.0,64.0,245.0
2000,WI,76.0,97.0,149.0,136.0,132.0,590.0
2000,WY,,11.0,20.0,,21.0,83.0
2001,AL,52.0,93.0,102.0,109.0,156.0,512.0
2001,AK,16.0,16.0,21.0,34.0,15.0,102.0
2001,AZ,84.0,131.0,144.0,188.0,220.0,767.0
2001,AR,37.0,84.0,84.0,73.0,104.0,382.0
2001,CA,260.0,486.0,544.0,604.0,937.0,2831.0
2001,CO,77.0,127.0,151.0,184.0,183.0,722.0
2001,CT,24.0,44.0,60.0,74.0,81.0,283.0
2001,DE,11.0,20.0,25.0,25.0,27.0,108.0
2001,FL,162.0,321.0,447.0,533.0,851.0,2314.0
2001,GA,116.0,167.0,214.0,197.0,241.0,935.0
2001,HI,17.0,19.0,28.0,37.0,35.0,136.0
2001,ID,34.0,37.0,37.0,36.0,66.0,210.0
2001,IL,127.0,189.0,247.0,247.0,329.0,1139.0
2001,IN,75.0,111.0,156.0,187.0,186.0,715.0
2001,IA,45.0,39.0,58.0,81.0,81.0,304.0
2001,KS,47.0,52.0,72.0,55.0,67.0,293.0
2001,KY,48.0,86.0,118.0,116.0,127.0,495.0
2001,LA,55.0,84.0,105.0,107.0,142.0,493.0
2001,ME,19.0,23.0,27.0,35.0,57.0,161.0
2001,MD,54.0,69.0,105.0,105.0,121.0,454.0
2001,MA,48.0,72.0,101.0,102.0,103.0,426.0
2001,MI,103.0,188.0,242.0,241.0,277.0,1051.0
2001,MN,60.0,77.0,103.0,128.0,112.0,480.0
2001,MS,41.0,62.0,71.0,67.0,87.0,328.0
2001,MO,95.0,110.0,167.0,160.0,193.0,725.0
2001,MT,14.0,28.0,43.0,34.0,56.0,175.0
2001,NE,22.0,32.0,42.0,41.0,50.0,187.0
2001,NV,32.0,49.0,84.0,93.0,129.0,387.0
2001,NH,22.0,33.0,39.0,39.0,34.0,167.0
2001,NJ,59.0,100.0,143.0,121.0,165.0,588.0
2001,NM,32.0,55.0,92.0,84.0,99.0,362.0
2001,NY,131.0,197.0,281.0,281.0,363.0,1253.0
2001,NC,116.0,152.0,221.0,225.0,283.0,997.0
2001,ND,,15.0,23.0,,20.0,79.0
2001,OH,133.0,194.0,269.0,275.0,348.0,1219.0
2001,OK,55.0,88.0,114.0,117.0,141.0,515.0
2001,OR,37.0,87.0,117.0,120.0,144.0,505.0
2001,PA,122.0,225.0,275.0,311.0,343.0,1276.0
2001,RI,13.0,18.0,19.0,23.0,15.0,88.0
2001,SC,49.0,91.0,104.0,102.0,121.0,467.0
2001,SD,19.0,18.0,20.0,27.0,21.0,105.0
2001,TN,72.0,133.0,158.0,136.0,212.0,711.0
2001,TX,264.0,383.0,485.0,520.0,573.0,2225.0
