Location,Mild,Moderate,Serious
Alabama,0.683,0.588,0.38
Alaska,0.692,0.577,0.457
Arizona,0.713,0.555,0.36
Arkansas,0.655,0.39,0.331
California,0.71,0.646,0.391
Colorado,0.698,0.512,0.277
Connecticut,0.658,0.483,0.346
Delaware,0.749,0.462,0.355
District of Columbia,0.594,0.536,0.47
Florida,0.787,0.613,0.346
Georgia,0.731,0.599,0.466
Hawaii,0.787,0.707,0.408
Idaho,0.609,0.521,0.379
Illinois,0.655,0.412,0.361
Indiana,0.689,0.6,0.312
Iowa,0.572,0.322,0.357
Kansas,0.655,0.538,0.302
Kentucky,0.673,0.496,0.304
Louisiana,0.753,0.456,0.443
Maine,0.593,0.434,0.317
Maryland,0.716,0.579,0.343
Massachusetts,0.551,0.356,0.296
Michigan,0.715,0.488,0.321
Minnesota,0.61,0.362,0.268
Mississippi,0.728,0.638,0.329
Missouri,0.645,0.425,0.398
Montana,0.605,0.474,0.358
Nebraska,0.572,0.387,0.384
Nevada,0.774,0.523,0.372
New Hampshire,0.631,0.477,0.324
New Jersey,0.697,0.535,0.356
New Mexico,0.584,0.612,0.404
New York,0.688,0.572,0.343
North Carolina,0.614,0.537,0.294
North Dakota,0.611,0.561,0.197
Ohio,0.634,0.507,0.305
Oklahoma,0.645,0.523,0.452
Oregon,0.66,0.457,0.43
Pennsylvania,0.625,0.51,0.32
Rhode Island,0.591,0.457,0.383
South Carolina,0.685,0.532,0.371
South Dakota,0.715,0.532,0.239
Tennessee,0.659,0.575,0.301
Texas,0.698,0.574,0.447
Utah,0.62,0.515,0.244
Vermont,0.51,0.443,0.256
Virginia,0.69,0.498,0.292
Washington,0.716,0.439,0.366
West Virginia,0.675,0.498,0.228
Wisconsin,0.567,0.578,0.144
Wyoming,0.77,0.617,0.299
