"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","NaN","NaN","NaN","NaN","29350","NaN","29350"
"Alabama","19","56","98","141","583","180","583"
"Alaska","16","35","24","32","137","10","137"
"Arizona","23","112","118","164","784","226","784"
"Arkansas","15","39","66","72","349","113","349"
"California","89","255","482","617","2969","978","2969"
"Colorado","27","69","114","125","613","138","613"
"Connecticut","N/A","25","43","74","304","84","304"
"Delaware","N/A","N/A","12","22","82","24","82"
"District of Columbia","N/A","N/A","N/A","N/A","23","N/A","23"
"Florida","43","158","253","435","2086","783","2086"
"Georgia","30","113","142","172","847","230","847"
"Hawaii","N/A","18","26","31","137","34","137"
"Idaho","N/A","26","28","28","167","51","167"
"Illinois","32","123","171","224","1003","287","1003"
"Indiana","30","82","122","164","683","167","683"
"Iowa","15","34","51","66","289","73","289"
"Kansas","13","40","58","68","325","84","325"
"Kentucky","13","59","95","124","521","140","521"
"Louisiana","14","65","94","94","468","124","468"
"Maine","N/A","20","21","42","154","37","154"
"Maryland","25","57","78","87","474","133","474"
"Massachusetts","14","42","72","96","387","82","387"
"Michigan","39","99","160","223","974","270","974"
"Minnesota","21","55","81","108","440","93","440"
"Mississippi","16","38","53","68","294","71","294"
"Missouri","28","76","114","183","699","185","699"
"Montana","10","16","26","35","158","47","158"
"Nebraska","11","30","26","37","193","50","193"
"Nevada","N/A","34","69","82","400","110","400"
"New Hampshire","N/A","N/A","16","46","131","34","131"
"New Jersey","20","45","78","128","560","170","560"
"New Mexico","17","50","62","64","327","80","327"
"New York","34","149","192","239","1132","321","1132"
"North Carolina","33","96","181","235","971","249","971"
"North Dakota","N/A","11","12","14","68","18","68"
"Ohio","36","115","161","258","1088","312","1088"
"Oklahoma","14","59","98","125","497","111","497"
"Oregon","17","62","65","88","493","159","493"
"Pennsylvania","44","130","206","317","1356","395","1356"
"Rhode Island","N/A","12","12","16","75","16","75"
"South Carolina","11","42","69","93","443","131","443"
"South Dakota","N/A","13","24","14","95","21","95"
"Tennessee","25","76","120","179","730","206","730"
"Texas","113","260","368","439","2053","482","2053"
"Utah","17","50","48","78","298","53","298"
"Vermont","N/A","N/A","12","14","77","21","77"
"Virginia","25","62","110","196","768","236","768"
"Washington","29","68","118","170","727","210","727"
"West Virginia","11","23","32","64","245","64","245"
"Wisconsin","33","76","97","149","590","132","590"
"Wyoming","N/A","N/A","11","20","83","21","83"
